parking_id,zone,date_time,total_slots,occupied_slots,avg_parking_duration_minutes,vehicle_type,entry_count,exit_count,parking_fee_collected,violation_reported,occupancy_rate_percent
1,Mall,2024-01-01 00:00:00,191,112,170,Car,65,86,4268.46,Yes,58.64
2,Hospital,2024-01-01 01:00:00,169,22,96,Car,104,100,2791.18,No,13.02
3,Office,2024-01-01 02:00:00,215,105,91,Bike,55,82,3603.45,No,48.84
4,Hospital,2024-01-01 03:00:00,230,230,228,Bike,102,51,4490.34,No,100.0
5,Hospital,2024-01-01 04:00:00,110,247,218,SUV,13,7,4513.62,No,224.55
6,Residential,2024-01-01 05:00:00,213,103,16,Electric,80,5,1676.12,No,48.36
7,Office,2024-01-01 06:00:00,217,91,141,Electric,6,94,4764.63,No,41.94
8,Office,2024-01-01 07:00:00,258,22,149,Bike,106,28,173.14,No,8.53
9,Office,2024-01-01 08:00:00,79,180,40,SUV,9,117,1915.34,No,227.85
10,Hospital,2024-01-01 09:00:00,58,222,232,Car,66,39,4484.2,No,382.76
11,Mall,2024-01-01 10:00:00,113,103,102,Bike,73,18,1409.45,No,91.15
12,Office,2024-01-01 11:00:00,210,158,218,Electric,56,71,1401.75,No,75.24
13,Hospital,2024-01-01 12:00:00,169,121,30,Electric,90,17,1547.98,No,71.6
14,Residential,2024-01-01 13:00:00,101,64,165,Electric,9,51,3080.95,No,63.37
15,Mall,2024-01-01 14:00:00,138,90,182,Car,63,54,2219.75,No,65.22
16,Residential,2024-01-01 15:00:00,191,177,202,Electric,72,82,3647.34,No,92.67
17,Mall,2024-01-01 16:00:00,252,220,87,Car,13,89,4479.81,No,87.3
18,Hospital,2024-01-01 17:00:00,102,125,46,Car,97,30,3387.29,No,122.55
19,Commercial,2024-01-01 18:00:00,276,152,29,Car,26,7,1062.11,No,55.07
20,Mall,2024-01-01 19:00:00,282,210,155,Bike,31,55,4666.78,No,74.47
21,Residential,2024-01-01 20:00:00,236,189,19,Car,14,44,1359.24,No,80.08
22,Hospital,2024-01-01 21:00:00,127,211,217,SUV,84,72,791.98,No,166.14
23,Mall,2024-01-01 22:00:00,271,117,88,Electric,110,40,495.34,No,43.17
24,Commercial,2024-01-01 23:00:00,90,232,66,Bike,110,55,2838.75,No,257.78
25,Commercial,2024-01-02 00:00:00,245,62,91,Electric,65,111,613.12,No,25.31
26,Office,2024-01-02 01:00:00,117,224,183,Car,55,5,736.94,Yes,191.45
27,Office,2024-01-02 02:00:00,269,137,195,Bike,14,108,1535.15,No,50.93
28,Residential,2024-01-02 03:00:00,57,189,124,SUV,10,115,1444.18,No,331.58
29,Mall,2024-01-02 04:00:00,51,167,192,Car,66,37,3040.99,Yes,327.45
30,Mall,2024-01-02 05:00:00,154,170,157,Electric,117,11,4092.89,No,110.39
31,Office,2024-01-02 06:00:00,174,66,120,SUV,9,56,3818.68,No,37.93
32,Mall,2024-01-02 07:00:00,159,61,141,Car,74,15,1349.3,No,38.36
33,Mall,2024-01-02 08:00:00,135,146,21,SUV,67,31,1264.29,No,108.15
